student_id,CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected,Performance_Score,Category_Level
20,6.46,6,3,3,8,1,7,3,No,Tier 3,1,0,1,8,7,1,1,5,Yes,0,13.23,Low
21,8.06,5,1,1,6,9,10,2,Yes,Tier 1,5,9,2,5,6,1,3,0,Yes,1,14.53,Low
22,5.7,5,3,0,8,4,1,7,No,Tier 3,3,4,6,2,6,6,1,2,No,0,13.85,Low
23,6.46,10,3,3,2,7,4,8,Yes,Tier 1,1,7,6,10,9,7,9,2,Yes,0,14.73,Low
24,6.83,10,0,3,9,6,4,9,Yes,Tier 2,0,6,6,7,3,10,5,1,Yes,0,15.415,Low
25,7.28,8,0,2,7,9,4,10,Yes,Tier 1,0,6,6,2,1,3,3,4,No,1,16.14,Low
26,8.93,7,0,2,5,2,7,5,No,Tier 2,2,4,6,5,4,9,2,0,Yes,1,17.465,Low
27,6,8,4,1,7,2,5,9,Yes,Tier 2,2,8,8,3,1,6,7,1,Yes,1,16.5,Low
28,7.57,8,3,3,2,7,5,1,Yes,Tier 3,2,4,6,3,5,4,2,1,Yes,1,17.785,Low
29,7.96,7,3,2,4,9,3,9,Yes,Tier 2,3,0,9,1,6,3,3,4,No,1,18.48,Low
30,5.23,2,4,1,7,5,10,10,No,Tier 3,0,4,5,1,8,5,6,2,Yes,1,17.615,Low
31,8.04,9,1,0,2,7,5,5,Yes,Tier 2,3,2,4,4,3,6,4,4,Yes,1,19.52,Low
32,5.85,7,2,2,8,8,5,2,Yes,Tier 1,0,2,1,9,3,7,8,5,No,1,18.925,Low
33,5.33,6,1,1,10,8,8,6,Yes,Tier 2,5,4,2,5,3,7,7,0,Yes,1,19.165,Low
34,9.74,9,4,2,10,4,2,1,Yes,Tier 2,2,0,4,9,4,7,7,1,Yes,1,21.87,Low
35,9.83,1,3,0,5,10,8,7,No,Tier 2,2,7,9,10,3,4,3,5,Yes,1,22.415,Low
36,9.04,2,3,0,5,7,4,7,Yes,Tier 1,1,8,4,6,9,7,8,2,Yes,1,22.52,Low
37,6.52,1,0,2,8,1,9,10,No,Tier 2,5,9,8,6,8,9,8,0,Yes,1,21.76,Low
38,5.49,10,0,0,1,4,8,8,No,Tier 3,5,3,2,3,9,6,8,0,No,0,21.745,Low
39,8.42,3,3,1,6,5,5,1,Yes,Tier 2,5,0,1,4,6,3,4,4,Yes,0,23.71,Low
40,7.2,5,3,2,2,10,5,2,Yes,Tier 1,2,1,9,7,6,1,3,5,Yes,1,23.6,Low
41,5.61,1,5,2,1,7,9,1,Yes,Tier 1,2,6,10,4,4,9,3,2,No,1,23.305,Low
42,7.48,4,0,0,7,6,5,8,Yes,Tier 1,4,0,6,2,6,2,3,0,No,0,24.74,Low
43,5.17,8,0,1,4,4,9,8,No,Tier 2,0,2,10,4,9,3,5,5,Yes,1,24.085,Low
44,9.55,6,1,2,1,3,6,3,Yes,Tier 2,2,6,5,4,5,8,5,4,Yes,1,26.775,Low
45,6.29,1,3,2,10,6,1,10,Yes,Tier 3,4,3,3,10,6,6,9,5,Yes,1,25.645,Low
46,8.31,1,3,0,6,10,8,2,Yes,Tier 2,4,9,9,8,6,10,1,0,Yes,1,27.155,Low
47,6.56,3,4,0,10,5,1,9,Yes,Tier 3,4,3,2,10,8,4,1,0,Yes,0,26.78,Low
48,7.6,10,1,1,6,3,2,5,Yes,Tier 3,5,0,10,10,9,7,5,5,Yes,1,27.8,Low
49,7.73,8,2,1,3,4,6,9,Yes,Tier 1,5,7,8,8,9,6,2,0,Yes,1,28.365,Low
50,5.92,8,2,0,6,2,5,2,No,Tier 2,5,3,4,3,5,9,6,2,Yes,1,27.96,Low
51,9.85,3,2,1,10,9,2,6,Yes,Tier 2,2,8,7,4,1,2,3,2,Yes,1,30.425,Low
52,8.88,7,5,3,9,7,6,1,Yes,Tier 2,3,4,8,7,4,5,4,2,Yes,0,30.44,Low
53,9.7,3,0,3,6,10,7,7,Yes,Tier 2,3,5,1,5,5,2,4,2,Yes,1,31.35,Low
54,9.47,4,2,0,1,3,3,4,Yes,Tier 3,5,5,10,2,6,1,6,2,No,0,31.735,Low
55,7.99,9,4,2,10,8,8,7,No,Tier 3,0,8,1,4,4,1,5,3,No,1,31.495,Low
56,9.61,4,0,0,6,8,4,9,Yes,Tier 1,3,2,9,8,4,2,10,1,Yes,1,32.805,Low
57,5.44,3,0,0,8,1,10,1,No,Tier 1,2,5,9,2,9,7,2,3,Yes,1,31.22,Low
58,5.98,5,2,0,7,5,9,1,Yes,Tier 2,0,8,10,7,5,10,4,5,No,1,31.99,Low
59,5.23,7,0,2,8,5,7,7,Yes,Tier 3,0,7,1,2,1,9,5,0,Yes,1,32.115,Low
60,6.63,5,1,3,8,3,3,10,No,Tier 2,5,6,5,5,10,4,5,1,Yes,0,33.315,Low
61,6.94,4,1,1,9,2,5,2,No,Tier 1,0,3,4,10,7,9,10,1,Yes,0,33.97,Low
62,6.36,8,2,3,3,1,9,8,Yes,Tier 1,1,4,10,10,9,7,2,0,No,0,34.18,Low
63,9.14,4,4,1,7,4,9,4,Yes,Tier 2,2,6,4,2,8,4,1,0,No,1,36.07,Low
64,6.78,2,0,1,6,10,8,7,No,Tier 2,5,5,2,3,9,10,7,1,No,1,35.39,Low
65,6.4,10,3,0,2,2,8,10,Yes,Tier 2,2,4,5,3,4,10,3,5,Yes,1,35.7,Low
66,7.71,6,2,0,5,5,9,2,Yes,Tier 2,3,8,2,4,6,10,5,1,No,1,36.855,Low
67,5.7,2,5,1,3,10,5,8,Yes,Tier 1,3,4,3,4,1,9,9,0,Yes,1,36.35,Low
68,9.01,3,0,2,5,2,9,6,Yes,Tier 2,2,5,8,2,6,6,2,4,Yes,1,38.505,Low
69,5.37,1,2,2,9,1,6,1,No,Tier 2,1,9,9,4,8,7,8,0,Yes,1,37.185,Low
70,9.93,5,2,2,8,10,6,9,Yes,Tier 2,4,6,9,7,7,8,5,2,Yes,1,39.965,Low
71,8.86,9,4,2,9,10,10,2,Yes,Tier 3,1,1,7,1,1,3,7,5,Yes,0,39.93,Low
72,5.99,2,3,0,9,10,6,4,No,Tier 2,1,4,4,6,4,7,7,4,Yes,0,38.995,Low
73,5.03,7,0,3,8,10,7,9,Yes,Tier 1,3,5,9,8,2,10,4,3,Yes,1,39.015,Low
74,9.08,5,2,3,8,9,9,8,Yes,Tier 2,1,2,1,6,4,10,7,5,Yes,1,41.54,Low
75,8.53,2,2,1,6,2,3,8,Yes,Tier 1,3,3,2,8,10,10,6,2,Yes,1,41.765,Low
76,8.65,8,0,2,6,10,6,4,No,Tier 1,3,1,10,7,8,7,9,2,No,1,42.325,Low
77,8.86,6,2,0,6,4,10,1,No,Tier 2,5,6,5,3,3,9,10,3,No,1,42.93,Low
78,5.37,4,2,0,10,3,5,10,Yes,Tier 1,0,1,5,7,2,4,4,4,Yes,1,41.685,Low
79,6.79,4,2,0,6,1,4,4,Yes,Tier 1,5,1,5,5,3,4,6,1,Yes,1,42.895,Low
80,5.58,2,1,1,9,8,8,3,No,Tier 2,1,4,8,3,9,3,4,3,No,1,42.79,Low
81,9.32,3,1,0,10,2,3,3,No,Tier 2,1,4,10,10,2,7,9,0,Yes,1,45.16,Low
82,8.12,7,3,1,1,8,2,1,Yes,Tier 3,1,5,2,7,1,1,10,1,Yes,1,45.06,Low
83,6.65,3,4,1,10,1,4,9,No,Tier 1,5,1,10,3,3,6,1,5,Yes,0,44.825,Low
84,5.32,5,0,1,6,6,3,3,No,Tier 3,2,8,9,2,5,4,2,2,Yes,0,44.66,Low
85,6.55,10,4,1,8,4,7,4,Yes,Tier 1,4,1,5,7,9,2,8,0,No,0,45.775,Low
86,6.63,6,4,0,1,3,4,1,Yes,Tier 2,4,0,7,1,5,6,5,4,Yes,1,46.315,Low
87,8.65,6,1,0,6,1,10,3,No,Tier 1,2,3,9,1,5,3,6,0,No,1,47.825,Low
88,8.19,4,3,3,9,10,9,1,Yes,Tier 3,5,1,5,5,2,6,6,4,Yes,0,48.095,Low
89,9.44,6,4,0,6,1,5,4,Yes,Tier 1,5,6,4,2,9,2,1,2,Yes,1,49.22,Low
90,7.36,3,4,2,2,7,3,10,Yes,Tier 2,1,3,9,1,9,9,7,2,No,1,48.68,Low
91,5.6,7,2,2,1,6,2,7,Yes,Tier 1,3,1,8,8,4,6,2,4,Yes,0,48.3,Low
92,8.57,7,0,1,4,3,6,10,Yes,Tier 2,2,9,3,1,8,8,7,1,Yes,1,50.285,Low
93,8.8,4,3,1,6,2,6,8,Yes,Tier 1,3,4,4,9,7,9,10,4,Yes,1,50.9,Low
94,7.81,2,0,1,10,10,1,8,Yes,Tier 2,2,8,9,8,1,10,5,1,Yes,0,50.905,Low
95,8.85,7,1,3,10,3,7,1,Yes,Tier 3,1,3,1,1,5,10,4,5,No,0,51.925,Low
96,7.47,3,4,1,9,8,5,6,No,Tier 3,5,0,7,7,1,3,9,0,Yes,1,51.735,Low
97,7.61,1,4,3,5,7,7,8,No,Tier 2,5,7,10,3,9,1,9,1,No,1,52.305,Low
98,7.14,2,5,1,7,7,4,10,Yes,Tier 2,1,7,3,6,6,10,6,4,Yes,0,52.57,Low
99,5.13,10,0,2,6,5,5,10,No,Tier 2,2,9,10,10,3,4,1,3,Yes,1,52.065,Low
100,5.54,9,1,1,6,10,7,8,Yes,Tier 3,1,9,7,2,6,5,1,1,Yes,1,52.77,Low
101,5.16,8,5,0,9,3,6,9,Yes,Tier 2,0,4,9,1,6,6,10,1,Yes,1,53.08,Low
102,8.18,6,5,1,5,1,1,8,Yes,Tier 3,2,7,10,5,1,6,2,4,No,1,55.09,Low
103,6.57,6,2,0,2,1,1,5,Yes,Tier 3,1,0,1,7,9,3,2,5,Yes,1,54.785,Low
104,7.54,1,5,0,8,6,2,1,No,Tier 2,3,1,4,8,4,5,10,5,No,1,55.77,Low
105,9.54,2,5,0,3,4,3,9,Yes,Tier 1,4,3,3,5,3,7,8,3,Yes,1,57.27,Low
106,6.25,4,2,0,9,7,1,10,Yes,Tier 3,4,2,6,7,4,8,3,5,Yes,0,56.125,Low
107,7.05,3,4,3,5,10,10,10,Yes,Tier 2,1,2,4,2,2,8,1,2,Yes,1,57.025,Low
108,8.78,1,4,3,1,10,2,10,Yes,Tier 1,3,8,5,1,3,3,6,0,Yes,1,58.39,Low
109,6.14,8,3,1,4,10,2,10,No,Tier 2,3,8,5,1,10,2,8,4,Yes,1,57.57,Low
110,5.38,7,5,1,9,1,7,5,No,Tier 2,4,7,3,10,3,6,6,0,Yes,0,57.69,Low
111,6.45,4,0,3,1,6,6,7,Yes,Tier 2,5,6,7,1,8,9,4,3,No,1,58.725,Low
112,5.81,9,4,1,8,7,9,7,No,Tier 2,5,7,6,3,10,8,9,5,Yes,1,58.905,Low
113,9.65,4,1,1,8,1,10,4,No,Tier 2,0,3,9,5,7,3,10,5,Yes,1,61.325,Low
114,9.04,1,0,3,9,2,5,8,Yes,Tier 1,0,6,5,8,1,2,8,2,Yes,0,61.52,Low
115,8.17,10,3,3,9,9,3,10,No,Tier 2,2,7,3,7,2,4,1,1,Yes,0,61.585,Low
116,9.36,1,5,1,6,9,1,9,No,Tier 3,2,3,5,2,8,1,6,5,Yes,0,62.68,Low
117,9.02,1,2,3,5,6,1,4,Yes,Tier 1,3,4,10,9,2,3,8,2,Yes,1,63.01,Low
118,5.93,1,3,2,7,4,2,2,No,Tier 2,4,7,9,6,1,2,4,1,Yes,1,61.965,Low
119,9.46,4,0,0,9,7,3,10,No,Tier 1,5,1,5,8,5,1,9,1,Yes,1,64.23,Low
120,7.7,1,2,0,5,5,10,4,Yes,Tier 1,1,3,7,4,4,9,9,1,No,0,63.85,Low
121,9.04,2,1,2,3,3,10,2,Yes,Tier 2,2,3,1,2,4,10,2,3,Yes,1,65.02,Low
122,9.48,4,2,2,9,4,5,1,No,Tier 1,0,9,7,8,3,1,9,0,No,0,65.74,Low
123,6.59,7,2,1,10,2,7,1,Yes,Tier 3,3,3,4,2,9,6,3,5,Yes,1,64.795,Low
124,5.55,2,1,1,1,6,4,4,Yes,Tier 3,2,0,5,4,1,6,7,2,Yes,1,64.775,Low
125,6.14,8,4,0,1,3,10,9,Yes,Tier 1,3,5,8,2,6,6,10,5,Yes,1,65.57,Low
126,7.14,7,4,1,10,7,6,9,No,Tier 3,5,2,8,5,4,9,7,4,Yes,0,66.57,Low
127,9.09,9,2,0,4,4,6,7,Yes,Tier 1,1,1,5,8,9,6,2,1,Yes,1,68.045,Low
128,9.3,6,2,1,2,8,2,5,No,Tier 1,2,9,2,10,4,7,7,3,No,1,68.65,Low
129,5.03,4,3,1,7,1,6,6,Yes,Tier 2,4,7,6,3,5,3,4,4,Yes,0,67.015,Low
130,7.55,6,4,0,2,9,5,1,Yes,Tier 2,1,6,6,2,4,10,8,1,No,1,68.775,Low
131,7.09,4,1,2,7,3,6,3,No,Tier 2,0,6,1,2,9,2,8,3,Yes,0,69.045,Low
132,6.11,7,5,2,8,3,4,1,No,Tier 1,3,6,5,6,9,8,9,2,No,1,69.055,Low
133,5.6,9,5,1,8,5,1,10,Yes,Tier 3,1,1,4,3,2,4,7,0,Yes,1,69.3,Low
134,6.69,3,2,2,3,10,9,5,Yes,Tier 3,1,4,1,5,10,2,2,0,Yes,0,70.345,Low
135,9.71,3,2,1,9,1,3,4,Yes,Tier 3,1,0,8,2,1,10,7,1,Yes,0,72.355,Low
136,6.62,2,5,3,10,3,1,3,Yes,Tier 1,3,1,8,6,4,4,4,1,Yes,1,71.31,Low
137,7.59,1,3,3,10,4,4,6,Yes,Tier 2,5,9,2,3,10,5,8,2,Yes,1,72.295,Low
138,8.52,1,3,3,10,2,7,6,Yes,Tier 2,5,0,10,7,5,9,8,4,No,1,73.26,Low
139,6.82,3,3,2,6,6,4,9,Yes,Tier 3,4,5,9,8,5,8,1,4,No,1,72.91,Low
140,9.86,7,0,2,4,10,4,4,No,Tier 2,3,8,3,4,7,2,8,2,No,1,74.93,Low
141,9.81,9,1,0,8,4,9,9,Yes,Tier 2,3,7,3,5,4,1,10,4,Yes,1,75.405,Low
142,6.26,2,0,2,4,1,6,4,Yes,Tier 1,0,5,4,5,2,1,4,2,No,1,74.13,Low
143,7.49,7,2,1,4,3,9,8,Yes,Tier 3,3,6,7,3,4,1,2,0,Yes,0,75.245,Low
144,6.5,1,3,0,8,7,2,8,No,Tier 1,3,2,2,2,1,3,10,1,No,0,75.25,Low
145,6.42,2,3,2,4,3,7,2,Yes,Tier 1,4,9,10,3,9,6,8,4,No,1,75.71,Low
146,5.18,6,5,0,1,6,7,10,No,Tier 3,5,1,2,5,9,8,4,1,Yes,0,75.59,Low
147,8.05,5,5,2,6,6,8,8,No,Tier 1,3,7,9,8,4,6,10,3,No,1,77.525,Low
148,7.51,8,3,1,8,1,10,2,No,Tier 1,3,4,4,4,5,4,6,2,Yes,1,77.755,Low
149,5.26,2,4,3,3,2,9,8,Yes,Tier 1,3,6,7,5,10,3,6,4,Yes,1,77.13,Low
150,6.39,1,5,3,2,10,8,6,No,Tier 1,5,3,9,8,9,6,10,2,Yes,1,78.195,Low
151,9.54,7,1,1,6,6,2,3,Yes,Tier 2,3,3,7,7,10,9,8,3,Yes,1,80.27,Low
152,6.2,6,0,0,1,2,3,7,No,Tier 2,5,4,5,10,1,4,5,5,No,1,79.1,Low
153,5.72,8,1,3,5,2,2,6,Yes,Tier 1,0,3,1,10,5,3,7,2,No,1,79.36,Low
154,7.45,8,5,2,6,4,1,3,Yes,Tier 1,0,4,9,8,6,5,6,2,Yes,1,80.725,Low
155,9.93,2,3,2,8,8,7,5,Yes,Tier 2,5,6,8,4,1,6,6,2,Yes,0,82.465,Low
156,6.21,8,2,0,7,6,8,4,Yes,Tier 2,3,5,5,2,5,7,1,3,No,1,81.105,Low
157,8.36,6,4,0,6,8,5,6,Yes,Tier 2,5,6,9,2,4,4,5,4,No,0,82.68,Low
158,8.81,9,5,1,2,4,10,1,No,Tier 1,3,6,8,9,6,2,5,3,Yes,1,83.405,Low
159,6.19,7,1,3,8,3,9,1,Yes,Tier 2,0,8,4,2,2,8,2,1,Yes,1,82.595,Low
160,8.64,2,2,0,8,7,4,8,Yes,Tier 2,0,1,2,1,3,6,9,3,No,1,84.32,Low
161,6.84,8,5,3,5,7,1,8,No,Tier 2,5,2,9,5,6,9,8,5,Yes,0,83.92,Low
162,8.16,9,3,3,3,2,4,9,Yes,Tier 2,3,2,9,9,6,8,4,1,Yes,1,85.08,Low
163,8.17,7,3,2,8,1,5,8,Yes,Tier 1,3,5,7,9,8,7,2,1,No,0,85.585,Low
164,7.68,4,3,0,5,8,8,2,Yes,Tier 3,4,0,8,6,9,7,5,3,Yes,1,85.84,Low
165,5.45,9,3,1,3,3,5,5,Yes,Tier 2,0,8,4,4,4,3,10,0,No,0,85.225,Low
166,9.18,4,5,0,9,6,10,8,No,Tier 2,0,4,10,9,9,4,7,3,Yes,1,87.59,Low
167,6.6,4,4,3,9,7,9,9,No,Tier 2,5,5,4,2,3,2,9,4,No,1,86.8,Low
168,5.93,9,4,2,7,8,6,6,Yes,Tier 2,0,6,1,4,6,9,7,2,Yes,1,86.965,Low
169,5.2,8,1,0,8,6,8,4,No,Tier 2,2,0,9,6,10,8,7,1,Yes,1,87.1,Low
170,7.95,4,5,0,5,7,3,9,Yes,Tier 2,1,2,10,1,9,2,6,5,No,1,88.975,Low
171,8.39,8,3,0,5,5,3,4,Yes,Tier 2,0,8,9,2,2,5,9,0,No,1,89.695,Low
172,5.08,8,4,1,5,3,9,6,Yes,Tier 1,2,4,5,2,3,1,3,0,No,1,88.54,Low
173,7.56,7,5,1,2,2,6,5,No,Tier 1,5,1,7,1,10,6,7,5,No,1,90.28,Low
174,6.13,10,2,1,3,7,4,1,Yes,Tier 1,5,2,3,9,3,5,10,5,Yes,0,90.065,Low
175,8.23,6,4,1,8,8,8,4,No,Tier 2,1,5,8,1,5,2,2,2,Yes,0,91.615,Low
176,5.87,8,4,2,6,8,4,10,Yes,Tier 1,1,2,9,1,3,3,9,4,No,1,90.935,Low
177,8.45,7,1,2,9,3,4,3,No,Tier 1,0,0,8,4,2,4,5,0,Yes,1,92.725,Low
178,6.93,5,4,1,7,2,7,8,Yes,Tier 3,1,4,5,1,7,2,9,5,Yes,1,92.465,Low
179,9.68,4,2,3,6,9,7,7,No,Tier 1,2,9,6,9,9,4,6,0,Yes,1,94.34,Low
180,5.69,2,3,1,4,6,8,10,Yes,Tier 2,0,6,3,8,5,2,8,1,No,0,92.845,Low
181,6.71,8,0,1,7,10,10,1,Yes,Tier 2,3,4,3,8,4,3,5,5,No,1,93.855,Low
182,5.57,9,1,3,4,3,7,8,Yes,Tier 2,3,0,7,7,4,1,1,2,Yes,0,93.785,Low
183,9.62,4,2,0,7,5,8,7,No,Tier 2,5,1,9,10,1,3,10,4,Yes,1,96.31,Low
184,9.39,4,1,3,5,1,8,2,Yes,Tier 2,3,1,9,9,9,8,5,0,Yes,1,96.695,Low
185,6.29,5,5,3,2,2,7,10,Yes,Tier 1,2,9,2,7,9,1,6,2,No,1,95.645,Low
186,8.3,2,3,2,7,9,1,4,Yes,Tier 1,2,3,7,10,1,10,5,3,Yes,1,97.15,Low
187,9.09,7,4,0,8,10,4,2,Yes,Tier 2,5,3,8,8,3,5,1,3,No,1,98.045,Low
188,7.78,5,5,3,10,10,3,9,No,Tier 2,1,0,1,1,6,4,1,5,No,0,97.89,Low
189,7.65,6,4,1,2,3,9,8,No,Tier 2,5,1,10,6,1,1,4,5,Yes,1,98.325,Low
190,6.21,4,2,3,6,8,10,1,No,Tier 3,2,1,4,3,5,7,7,4,Yes,0,98.105,Low
191,5.47,8,3,2,4,10,8,1,No,Tier 2,5,0,9,2,3,5,9,4,Yes,1,98.235,Low
192,9.49,8,0,3,5,8,9,8,Yes,Tier 1,0,4,9,1,3,10,4,5,Yes,1,100.745,Low
193,9.5,5,0,1,1,5,5,5,No,Tier 2,4,4,5,1,1,2,5,2,Yes,0,101.25,Low
194,8.17,6,4,0,6,8,5,1,No,Tier 1,3,4,7,1,10,5,5,1,No,1,101.085,Low
195,6.7,3,5,2,8,2,10,4,Yes,Tier 1,5,5,6,3,2,2,10,4,Yes,1,100.85,Low
196,6.75,1,3,0,2,2,5,2,Yes,Tier 2,1,4,4,4,8,4,5,1,No,0,101.375,Low
197,8.63,9,3,2,1,4,2,9,Yes,Tier 3,1,9,7,4,8,7,4,3,No,1,102.815,Low
198,9.49,9,2,1,9,8,7,10,No,Tier 1,3,6,3,6,6,10,7,1,Yes,1,103.745,Low
199,9.44,3,5,2,2,2,8,6,Yes,Tier 2,3,8,1,2,10,8,1,4,Yes,1,104.22,Low
200,8.9,4,0,0,8,4,5,9,No,Tier 2,0,8,2,5,1,5,4,0,Yes,1,104.45,Low
201,8.21,7,2,0,5,8,8,1,Yes,Tier 3,1,9,7,4,1,7,5,0,Yes,0,104.605,Low
202,5.42,2,1,3,2,3,6,1,Yes,Tier 2,5,0,10,6,9,5,7,3,Yes,0,103.71,Low
203,5.81,3,3,0,5,8,4,4,Yes,Tier 2,3,5,4,3,4,9,3,1,Yes,1,104.405,Low
204,9.49,6,0,3,9,2,7,2,Yes,Tier 1,5,6,7,4,7,10,2,1,No,1,106.745,Low
205,8.03,8,2,0,6,1,8,1,No,Tier 2,2,8,8,1,5,9,4,5,Yes,1,106.515,Low
206,5.05,1,4,3,3,6,9,6,No,Tier 2,1,9,7,5,7,8,7,5,Yes,1,105.525,Low
207,5.51,4,1,1,8,8,5,8,Yes,Tier 2,2,4,5,7,6,2,2,3,Yes,0,106.255,Low
208,8.32,1,2,3,1,9,9,1,No,Tier 2,3,1,1,6,5,6,7,1,Yes,0,108.16,Low
209,5.03,2,4,0,9,10,8,10,Yes,Tier 1,0,9,6,3,4,9,8,5,Yes,1,107.015,Low
210,5.8,8,0,1,9,8,1,10,No,Tier 1,1,7,7,7,10,6,6,4,Yes,1,107.9,Low
211,7.74,6,0,2,4,2,8,6,Yes,Tier 1,1,0,4,6,5,7,9,2,Yes,1,109.37,Low
212,8.46,9,1,0,8,1,8,1,Yes,Tier 2,5,6,3,1,4,7,1,1,No,1,110.23,Low
213,8.26,2,4,3,3,7,7,8,No,Tier 3,3,3,6,8,10,4,10,0,Yes,1,110.63,Low
214,6.12,3,3,2,6,7,1,6,No,Tier 2,2,9,10,1,7,10,2,4,Yes,0,110.06,Low
215,8.56,9,0,3,10,3,6,1,No,Tier 1,5,5,3,10,2,8,4,4,Yes,1,111.78,Low
216,6.19,9,5,2,10,6,2,9,No,Tier 2,4,7,10,10,9,10,8,2,Yes,1,111.095,Low
217,6.63,6,3,1,8,7,6,1,Yes,Tier 2,5,2,8,3,5,2,3,0,Yes,1,111.815,Low
218,8.73,3,3,0,9,9,2,9,No,Tier 2,3,1,5,6,3,3,8,3,No,1,113.365,Low
219,8.25,5,2,1,8,1,2,3,Yes,Tier 2,5,7,6,3,5,10,4,3,No,1,113.625,Low
220,9.25,2,2,0,9,3,7,8,Yes,Tier 2,2,5,3,9,9,8,5,5,Yes,1,114.625,Low
221,8.29,7,0,2,4,5,10,8,Yes,Tier 2,5,5,1,2,2,3,3,0,Yes,0,114.645,Low
222,7.84,10,3,1,10,3,1,7,Yes,Tier 3,2,7,1,9,8,9,6,2,Yes,0,114.92,Low
223,5.47,8,2,0,1,8,5,2,No,Tier 3,5,4,5,1,1,6,3,2,Yes,1,114.235,Low
224,6.84,6,4,2,7,10,1,3,Yes,Tier 1,4,4,5,7,7,10,9,1,No,1,115.42,Low
225,6.33,8,4,1,10,6,9,5,Yes,Tier 2,1,6,1,8,7,9,6,0,No,1,115.665,Low
226,6.22,2,4,1,4,2,5,5,Yes,Tier 3,0,5,6,2,7,2,1,3,Yes,1,116.11,Low
227,9.87,3,4,1,1,1,5,2,No,Tier 2,4,2,9,6,7,2,10,1,Yes,1,118.435,Low
228,6.97,7,3,1,3,10,4,1,Yes,Tier 1,3,3,4,7,3,3,3,4,Yes,1,117.485,Low
229,9.46,10,4,3,7,5,3,5,No,Tier 2,2,1,8,2,3,4,8,2,No,1,119.23,Low
230,8.16,1,3,2,3,9,8,5,Yes,Tier 1,5,7,7,1,2,8,2,0,Yes,1,119.08,Low
231,8.97,7,0,3,1,10,7,3,Yes,Tier 1,4,5,6,10,9,3,8,3,No,1,119.985,Low
232,7.51,6,0,2,7,9,9,8,Yes,Tier 1,2,6,2,3,3,1,10,3,No,0,119.755,Low
233,7.88,8,4,2,8,1,6,6,No,Tier 3,1,4,9,9,6,8,6,5,Yes,0,120.44,Low
234,7.46,7,4,2,5,3,1,2,Yes,Tier 2,5,6,10,6,4,3,4,5,Yes,1,120.73,Low
235,5.98,4,4,0,6,6,5,2,Yes,Tier 3,2,3,6,5,10,4,2,5,Yes,1,120.49,Low
236,8.61,3,0,2,3,5,5,4,No,Tier 3,0,9,10,6,10,1,3,0,Yes,1,122.305,Low
237,6.4,3,2,1,5,4,7,6,No,Tier 3,5,3,1,9,3,5,2,3,Yes,1,121.7,Low
238,5.12,4,0,3,3,2,10,9,Yes,Tier 2,3,1,10,7,5,1,10,3,No,1,121.56,Low
